	['Date', 'Cash', 'Stock']
500	['2019-05-20' 7300.0 604430.0]
501	['2019-05-21' 7300.0 604430.0]
502	['2019-05-22' 7300.0 604430.0]
503	['2019-05-23' 7280.0 604430.0]
504	['2019-05-24' 7280.0 629170.0]
505	['2019-05-25' 7280.0 629170.0]
506	['2019-05-26' 7280.0 629170.0]
507	['2019-05-27' 7330.0 629170.0]
508	['2019-05-28' 7330.0 629170.0]
509	['2019-05-29' 7350.0 629170.0]
510	['2019-05-30' 7350.0 629170.0]
511	['2019-05-31' 7330.0 642330.0]
512	['2019-06-01' 7330.0 642330.0]
513	['2019-06-02' 7330.0 642330.0]
514	['2019-06-03' 7300.0 642330.0]
515	['2019-06-04' 7300.0 642330.0]
516	['2019-06-05' 7300.0 642330.0]
517	['2019-06-06' 7300.0 642330.0]
518	['2019-06-07' 7300.0 635700.0]
519	['2019-06-08' 7300.0 635700.0]
520	['2019-06-09' 7300.0 635700.0]
521	['2019-06-10' 7300.0 635700.0]
522	['2019-06-11' 7300.0 635700.0]
523	['2019-06-12' 7270.0 635700.0]
524	['2019-06-13' 7290.0 635700.0]
525	['2019-06-14' 7320.0 694770.0]
526	['2019-06-15' 7320.0 694770.0]
527	['2019-06-16' 7320.0 694770.0]
528	['2019-06-17' 7300.0 694770.0]
529	['2019-06-18' 7300.0 694770.0]
530	['2019-06-19' 7220.0 694770.0]
531	['2019-06-20' 7170.0 694770.0]
532	['2019-06-21' 7150.0 679510.0]
533	['2019-06-22' 7150.0 679510.0]
534	['2019-06-23' 7150.0 679510.0]
535	['2019-06-24' 7120.0 679510.0]
536	['2019-06-25' 7120.0 679510.0]
537	['2019-06-26' 7120.0 679510.0]
538	['2019-06-27' 7120.0 679510.0]
539	['2019-06-28' 7120.0 700060.0]
540	['2019-06-29' 7120.0 700060.0]
541	['2019-06-30' 7120.0 700060.0]
542	['2019-07-01' 7040.0 700060.0]
543	['2019-07-02' 7040.0 700060.0]
544	['2019-07-03' 7000.0 700060.0]
545	['2019-07-04' 7060.0 700060.0]
546	['2019-07-05' 7060.0 709470.0]
547	['2019-07-06' 7060.0 709470.0]
548	['2019-07-07' 7060.0 709470.0]
549	['2019-07-08' 7060.0 709470.0]
550	['2019-07-09' 7060.0 709470.0]
551	['2019-07-10' 7060.0 709470.0]
552	['2019-07-11' 7060.0 709470.0]
553	['2019-07-12' 7060.0 690530.0]
554	['2019-07-13' 7060.0 690530.0]
555	['2019-07-14' 7060.0 690530.0]
556	['2019-07-15' 7100.0 690530.0]
557	['2019-07-16' 7120.0 690530.0]
558	['2019-07-17' 7140.0 690530.0]
559	['2019-07-18' 7140.0 690530.0]
560	['2019-07-19' 7140.0 662840.0]
561	['2019-07-20' 7140.0 662840.0]
562	['2019-07-21' 7140.0 662840.0]
563	['2019-07-22' 7140.0 662840.0]
564	['2019-07-23' 7140.0 662840.0]
565	['2019-07-24' 7180.0 662840.0]
566	['2019-07-25' 7200.0 662840.0]
567	['2019-07-26' 7180.0 683160.0]
568	['2019-07-27' 7180.0 683160.0]
569	['2019-07-28' 7180.0 683160.0]
570	['2019-07-29' 7230.0 683160.0]
571	['2019-07-30' 7230.0 683160.0]
572	['2019-07-31' 7210.0 683160.0]
573	['2019-08-01' 7200.0 683160.0]
574	['2019-08-02' 7220.0 696610.0]
575	['2019-08-03' 7220.0 696610.0]
576	['2019-08-04' 7220.0 696610.0]
577	['2019-08-05' 7220.0 696610.0]
578	['2019-08-06' 7250.0 696610.0]
579	['2019-08-07' 7250.0 696610.0]
580	['2019-08-08' 7280.0 696610.0]
581	['2019-08-09' 7380.0 662420.0]
582	['2019-08-10' 7380.0 662420.0]
583	['2019-08-11' 7380.0 662420.0]
584	['2019-08-12' 7450.0 662420.0]
585	['2019-08-13' 7450.0 662420.0]
586	['2019-08-14' 7410.0 662420.0]
587	['2019-08-15' 7410.0 662420.0]
588	['2019-08-16' 7510.0 671480.0]
589	['2019-08-17' 7510.0 671480.0]
590	['2019-08-18' 7510.0 671480.0]
591	['2019-08-19' 7550.0 671480.0]
592	['2019-08-20' 7570.0 671480.0]
593	['2019-08-21' 7570.0 671480.0]
594	['2019-08-22' 7640.0 671480.0]
595	['2019-08-23' 7620.0 642260.0]
596	['2019-08-24' 7620.0 642260.0]
597	['2019-08-25' 7620.0 642260.0]
598	['2019-08-26' 7770.0 642260.0]
599	['2019-08-27' 7720.0 642260.0]
600	['2019-08-28' 7720.0 642260.0]
601	['2019-08-29' 7740.0 642260.0]
602	['2019-08-30' 7690.0 613960.0]
603	['2019-08-31' 7690.0 613960.0]
604	['2019-09-01' 7690.0 613960.0]
605	['2019-09-02' 7690.0 613960.0]
606	['2019-09-03' 7660.0 613960.0]
607	['2019-09-04' 7680.0 613960.0]
608	['2019-09-05' 7650.0 613960.0]
609	['2019-09-06' 7600.0 614560.0]
610	['2019-09-07' 7600.0 614560.0]
611	['2019-09-08' 7600.0 614560.0]
612	['2019-09-09' 7550.0 614560.0]
613	['2019-09-10' 7550.0 614560.0]
614	['2019-09-11' 7550.0 614560.0]
615	['2019-09-12' 7500.0 614560.0]
616	['2019-09-13' 7500.0 606530.0]
617	['2019-09-14' 7500.0 606530.0]
618	['2019-09-15' 7500.0 606530.0]
619	['2019-09-16' 7500.0 606530.0]
620	['2019-09-17' 7530.0 606530.0]
621	['2019-09-18' 7500.0 606530.0]
622	['2019-09-19' 7500.0 606530.0]
623	['2019-09-20' 7460.0 577620.0]
624	['2019-09-21' 7460.0 577620.0]
625	['2019-09-22' 7460.0 577620.0]
626	['2019-09-23' 7500.0 577620.0]
627	['2019-09-24' 7400.0 577620.0]
628	['2019-09-25' 7400.0 577620.0]
629	['2019-09-26' 7400.0 577620.0]
630	['2019-09-27' 7350.0 579650.0]
631	['2019-09-28' 7350.0 579650.0]
632	['2019-09-29' 7350.0 579650.0]
